image,response,input_tokens,output_tokens,error_code,error_message
"1196.jpg","Common Name: European Starling Scientific Name: Sturnus vulgaris","314","17","",""
"1197.jpg","Common Name: Reed Bunting Scientific Name: Emberiza schoeniclus","386","17","",""
"1198.jpg","Common Name: Greylag Goose Scientific Name: Anser anser","332","17","",""
"1199.jpg","Common Name: Pied-billed Grebe Scientific Name: Podilymbus podiceps","314","20","",""
"12.jpg","Common Name: Yellow-vented Bulbul Scientific Name: Pycnonotus goiavier","314","22","",""
"120.jpg","Common Name: Little Bittern Scientific Name: Ixobrychus minutus","404","21","",""
"1200.jpg","Common Name: House Wren Scientific Name: Troglodytes aedon","278","19","",""
"1201.jpg","Common Name: Brown-headed Cowbird Scientific Name: Molothrus ater","314","18","",""
"1202.jpg","Common Name: Common Merganser Scientific Name: Mergus merganser","332","19","",""
"1203.jpg","Common Name: Marsh Harrier Scientific Name: Circus aeruginosus","314","17","",""
"1204.jpg","Common Name: Pileated Woodpecker Scientific Name: Dryocopus pileatus","332","20","",""
"1205.jpg","Common Name: Savannah Sparrow Scientific Name: Passerculus sandwichensis","296","17","",""
"1206.jpg","Common Name: Semipalmated Plover Scientific Name: Charadrius semipalmatus","332","23","",""
"1207.jpg","Common Name: Little Tern Scientific Name: Sternula albifrons","422","17","",""
"1208.jpg","Common Name: Yellow-wattled Lapwing Scientific Name: Vanellus malabaricus","332","21","",""
"1209.jpg","Common Name: Wattled Jacana Scientific Name: Jacana jacana","278","17","",""
"121.jpg","Common Name: Willow Warbler Scientific Name: Phylloscopus trochilus","332","20","",""
"1210.jpg","Common Name: Swamp Sparrow Scientific Name: Melospiza georgiana","314","18","",""
"1211.jpg","Common Name: Northern Flicker Scientific Name: Colaptes auratus","314","18","",""
"1212.jpg","Common Name: Coscoroba Swan Scientific Name: Coscoroba coscoroba","332","19","",""
"1213.jpg","Common Name: Martial Eagle Scientific Name: Polemaetus bellicosus","422","17","",""
"1214.jpg","Common Name: Great Kiskadee Scientific Name: Pitangus sulphuratus","314","20","",""
"1215.jpg","Common Name: Pileated Woodpecker Scientific Name: Dryocopus pileatus","332","20","",""
"1216.jpg","Common Name: Grey Wagtail Scientific Name: Motacilla cinerea","332","17","",""
"1217.jpg","Common Name:  Scientific Name: ","314","10","",""
"1218.jpg","Common Name: African Penguin Scientific Name: Spheniscus demersus","332","18","",""
"1219.jpg","Common Name: Red-backed Shrike Scientific Name: Lanius collurio","332","19","",""
"122.jpg","Common Name: House Sparrow Scientific Name: Passer domesticus","332","16","",""
"1220.jpg","Common Name: Black-winged Lapwing Scientific Name: Vanellus melanopterus","332","20","",""
"1221.jpg","Common Name: Black Redstart Scientific Name: Phoenicurus ochruros","332","19","",""
"1222.jpg","Common Name: Plain Chachalaca Scientific Name: Ortalis vetula","332","18","",""
"1223.jpg","Common Name: Common Merganser Scientific Name: Mergus merganser","332","19","",""
"1224.jpg","Common Name: Ringed Kingfisher Scientific Name: Megaceryle torquata","350","21","",""
"1225.jpg","Common Name: Spur-winged Lapwing Scientific Name: Vanellus spinosus","260","21","",""
"1226.jpg","Common Name: Little Tern Scientific Name: Sternula albifrons","422","17","",""
"1227.jpg","Common Name:  Scientific Name: ","332","10","",""
"1228.jpg","Common Name: European Robin Scientific Name: Erithacus rubecula","296","17","",""
"1229.jpg","Common Name: Australian Pelican Scientific Name: Pelecanus conspicillatus","422","19","",""
"123.jpg","Common Name: Dunnock Scientific Name: Prunella modularis","314","16","",""
"1230.jpg","Common Name: Grey Butcherbird Scientific Name: Cracticus torquatus","422","19","",""
"1231.jpg","Common Name: Swamp Sparrow Scientific Name: Melospiza georgiana","332","18","",""
"1232.jpg","Common Name: Grey Heron Scientific Name: Ardea cinerea","314","16","",""
"1233.jpg","Common Name: Snowy Egret Scientific Name: Egretta thula","314","18","",""
"1234.jpg","Common Name: Blue-winged Parrotlet Scientific Name: Forpus xanthops","332","20","",""
"1235.jpg","Common Name: Red-necked Phalarope Scientific Name: Phalaropus lobatus","368","20","",""
"1236.jpg","Common Name: Black-headed Gull Scientific Name: Chroicocephalus ridibundus","314","22","",""
"1237.jpg","Common Name: Rock Pigeon Scientific Name: Columba livia","332","17","",""
"1238.jpg","Common Name: Green-crowned Brilliant Scientific Name: Heliodoxa jacula","368","19","",""
"1239.jpg","Common Name: Wilson's Phalarope Scientific Name: Phalaropus tricolor","296","19","",""
"124.jpg","Common Name: Black Oystercatcher Scientific Name: Haematopus bachmani","296","19","",""
"1240.jpg","Common Name: Little Grebe Scientific Name: Tachybaptus ruficollis","422","22","",""
"1241.jpg","Common Name: Ruffed Grouse Scientific Name: Bonasa umbellus","332","19","",""
"1242.jpg","Common Name: House Sparrow Scientific Name: Passer domesticus","332","16","",""
"1243.jpg","Common Name: Swainson's Hawk Scientific Name: Buteo swainsoni","314","21","",""
"1244.jpg","Common Name: American Crow Scientific Name: Corvus brachyrhynchos","314","20","",""
"1245.jpg","Common Name: Eurasian Nuthatch Scientific Name: Sitta europaea","314","18","",""
"1246.jpg","Common Name: Yellow-vented Bulbul Scientific Name: Pycnonotus goiavier","314","22","",""
"1247.jpg","Common Name: Brown Pelican Scientific Name: Pelecanus occidentalis","224","19","",""
"1248.jpg","Common Name: Plain Chachalaca Scientific Name: Ortalis vetula","332","18","",""
"1249.jpg","Common Name: Yellow-legged Gull Scientific Name: Larus michahellis","278","19","",""
"125.jpg","Common Name: Reed Bunting Scientific Name: Emberiza schoeniclus","332","17","",""
"1250.jpg","Common Name: Spotted Dove Scientific Name: Spilopelia chinensis","332","18","",""
"1251.jpg","Common Name: Mallard Scientific Name: Anas platyrhynchos","332","18","",""
"1252.jpg","Common Name: Grey-headed Bulbul Scientific Name: Pycnonotus goiavier","314","21","",""
"1253.jpg","Common Name: Great Black-backed Gull Scientific Name: Larus marinus","332","18","",""
"1254.jpg","Common Name: Reed Bunting Scientific Name: Emberiza schoeniclus","314","17","",""
"1255.jpg","Common Name: American Flamingo Scientific Name: Phoenicopterus ruber","332","19","",""
"1256.jpg","Common Name: Black-capped Plover Scientific Name: Charadrius tricollaris","314","22","",""
"1257.jpg","Common Name: Long-billed Thrasher Scientific Name: Toxostoma redivivum","314","22","",""
"1258.jpg","Common Name: Red-tailed Hawk Scientific Name: Buteo jamaicensis","314","20","",""
"1259.jpg","Common Name: Yellow Warbler Scientific Name: Setophaga petechia","404","18","",""
"126.jpg","Common Name: Common Starling Scientific Name: Sturnus vulgaris","332","17","",""
"1260.jpg","Common Name: American Bittern Scientific Name: Botaurus lentiginosus","314","19","",""
"1261.jpg","Common Name: Savannah Sparrow Scientific Name: Passerculus sandwichensis","314","17","",""
"1262.jpg","Common Name: Mew Gull Scientific Name: Larus canus","332","17","",""
"1263.jpg","Common Name: Yellow-shafted Flicker Scientific Name: Colaptes auratus","314","22","",""
"1264.jpg","Common Name: Indian Robin Scientific Name: Copsychus fulicatus","278","18","",""
"1265.jpg","Common Name: Osprey Scientific Name: Pandion haliaetus","350","17","",""
"1266.jpg","Common Name: Willie Wagtail Scientific Name: Rhipidura javanica","296","19","",""
"1267.jpg","Common Name: White-tailed Tropicbird Scientific Name: Phaethon lepturus","350","21","",""
"1268.jpg","Common Name: Yellow Warbler Scientific Name: Setophaga petechia","332","18","",""
"1269.jpg","Common Name: Common Myna Scientific Name: Acridotheres tristis","332","19","",""
"127.jpg","Common Name: Mallard Scientific Name: Anas platyrhynchos","332","18","",""
"1270.jpg","Common Name: Ashy Drongo Scientific Name:Dicrurus leucophaeus","332","21","",""
"1271.jpg","Common Name: American Crow Scientific Name: Corvus brachyrhynchos","332","20","",""
"1272.jpg","Common Name: Eastern Screech-Owl Scientific Name: Megascops asio","332","20","",""
"1273.jpg","Common Name: Tundra Swan Scientific Name: Cygnus columbianus","332","18","",""
"1274.jpg","Common Name: Eurasian Bullfinch Scientific Name: Pyrrhula pyrrhula","332","22","",""
